OR,Re_label,Q_LPM,Rth_field,Rth_sealed,c_rth,c_T,dp_field,Wpump_W,passed_validity_envelope,feasible
0.5,40,6.652095804135484,0.1268936328571429,0.0195787528571428,6.481190798158988,113.82554300000004,2.24199999999837,0.0002485666465476819,n,False
0.5,70,11.641167657237096,0.1008045,0.01818386,5.543624950918012,95.56315000000002,6.732999999992899,0.0013063330306015784,n,False
0.5,100,16.630239510338708,0.0867052157142857,0.0174499971428572,4.968781083713628,85.693651,15.547999999995229,0.0043094493984444475,n,False
0.5,150,24.94535926550807,0.06574139,0.01669816,3.937043961729915,71.01897300000003,33.08599999999569,0.013755702610974876,y,False
0.5,250,41.57559877584678,0.0419116114285714,0.0158417714285714,2.6456391961937906,54.338128,89.528999999995,0.062037029713376296,y,False
0.6,2,0.2691038995555884,0.9211946714285714,0.0609845814285714,15.105370076328668,669.83627,0.0160000000032596,7.176103989610976e-08,n,False
0.6,5,0.672759748888971,0.6591218871428572,0.03546603,18.584597349713434,486.385321,0.0449999999982537,5.045698116471477e-07,n,False
0.6,10,1.345519497777942,0.4413124171428572,0.0268399585714286,16.442365809485214,333.918692,0.1009999999951105,2.2649578211498873e-06,n,False
0.6,20,2.691038995555884,0.2790923614285715,0.0222010585714286,12.571128558155612,220.36465300000003,0.2620000000024447,1.1750870280703675e-05,n,False
0.6,40,5.382077991111768,0.1847287228571429,0.0195787528571428,9.435162913849716,154.31010600000002,0.9740000000019792,8.736906605589191e-05,n,False
0.6,70,9.418636484445594,0.1400604514285715,0.01818386,7.702459842331138,123.04231600000004,2.918999999994412,0.000458216664967401,n,False
0.6,100,13.45519497777942,0.1142960671428571,0.0174499971428572,6.549918960281427,105.00724700000002,5.888000000006286,0.0013204031338208302,n,False
0.6,150,20.18279246666913,0.1057548228571429,0.01669816,6.333321926316606,99.02837600000004,12.25,0.004120653461944948,n,False
0.6,250,33.63798744444855,0.08138274,0.0158417714285714,5.13722473316477,81.96791800000001,35.69100000000617,0.02000955683133368,n,False
0.7,2,0.2056030089044026,0.9900594742857144,0.0609845814285714,16.234586695414613,718.041632,0.0090000000054715,3.0840451354409674e-08,n,False
0.7,5,0.5140075222610064,0.8509029514285715,0.03546603,23.992055254804992,620.6320660000001,0.0249999999941792,2.1416980089222044e-07,n,False
0.7,10,1.0280150445220129,0.5870336242857144,0.0268399585714286,21.8716292994065,435.92353700000007,0.0540000000037252,9.252135401336377e-07,n,False
0.7,20,2.0560300890440257,0.4788459171428572,0.0222010585714286,21.568607442849704,360.19214200000005,0.1239999999961583,4.249128850559342e-06,n,False
0.7,40,4.112060178088052,0.2816696071428571,0.0195787528571428,14.386493828185653,222.168725,0.3249999999970896,2.227365929777749e-05,n,False
0.7,70,7.196105311654091,0.1976481671428571,0.01818386,10.869428556030298,163.35371700000002,0.9199999999982538,0.00011034028144515329,n,False
0.7,100,10.28015044522013,0.1678973242857142,0.0174499971428572,9.62162474361433,142.52812699999998,2.304999999993015,0.0003949291129360099,n,False
0.7,150,15.420225667830197,0.1248688071428571,0.01669816,7.477998003543929,112.408165,3.489000000001397,0.0008966861225846851,n,False
0.7,250,25.70037611305033,0.0946397585714286,0.0158417714285714,5.974064137848954,91.24783100000003,11.682000000000698,0.005003863229211198,n,False
