case_id,campaign_group,fluid,topology,open_ratio,reynolds_number,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample,holdout_category,raw_data_location
DOE_Case_044,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_044
DOE_Case_045,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.4,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_045
DOE_Case_046,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_046
DOE_Case_047,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_047
DOE_Case_048,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_048
DOE_Case_049,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_049
DOE_Case_050,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_050
DOE_Case_051,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_051
DOE_Case_052,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_052
DOE_Case_053,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_053
DOE_Case_054,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.5,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_054
DOE_Case_055,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_055
DOE_Case_056,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_056
DOE_Case_057,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,100,700.0,2,1400.0,25.0,0.002796,1.044,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_057
DOE_Case_058,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,150,700.0,2,1400.0,25.0,0.004194,1.566,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_058
DOE_Case_059,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,250,700.0,2,1400.0,25.0,0.006991,2.61,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_059
DOE_Case_060,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,350,700.0,2,1400.0,25.0,0.009787,3.654,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_060
DOE_Case_061,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,500,700.0,2,1400.0,25.0,0.013981,5.22,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_061
DOE_Case_062,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,750,700.0,2,1400.0,25.0,0.020972,7.83,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_062
DOE_Case_063,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.6,1000,700.0,2,1400.0,25.0,0.027962,10.441,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_063
DOE_Case_064,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,25,700.0,2,1400.0,25.0,0.000699,0.261,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_064
DOE_Case_065,Baseline_OpenRatio_Reynolds,FC-40,Plate-Fin,0.7,50,700.0,2,1400.0,25.0,0.001398,0.522,False,CALIBRATION_BASELINE,/mnt/e/ijhmt-cfp/Paper-5/parametric_campaign/cases/DOE_Case_065
