case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,num_chips,total_heat_W,inlet_temp_C,inlet_velocity_m_s,flow_rate_LPM,is_out_of_sample
DOE_Case_034,Baseline_OpenRatio_Reynolds,0.3,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_035,Baseline_OpenRatio_Reynolds,0.3,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_036,Baseline_OpenRatio_Reynolds,0.3,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_037,Baseline_OpenRatio_Reynolds,0.4,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_038,Baseline_OpenRatio_Reynolds,0.4,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_039,Baseline_OpenRatio_Reynolds,0.4,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_040,Baseline_OpenRatio_Reynolds,0.4,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_041,Baseline_OpenRatio_Reynolds,0.4,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_042,Baseline_OpenRatio_Reynolds,0.4,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_043,Baseline_OpenRatio_Reynolds,0.4,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_044,Baseline_OpenRatio_Reynolds,0.4,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_045,Baseline_OpenRatio_Reynolds,0.4,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_046,Baseline_OpenRatio_Reynolds,0.5,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_047,Baseline_OpenRatio_Reynolds,0.5,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_048,Baseline_OpenRatio_Reynolds,0.5,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_049,Baseline_OpenRatio_Reynolds,0.5,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_050,Baseline_OpenRatio_Reynolds,0.5,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_051,Baseline_OpenRatio_Reynolds,0.5,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_052,Baseline_OpenRatio_Reynolds,0.5,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_053,Baseline_OpenRatio_Reynolds,0.5,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_054,Baseline_OpenRatio_Reynolds,0.5,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_055,Baseline_OpenRatio_Reynolds,0.6,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_056,Baseline_OpenRatio_Reynolds,0.6,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_057,Baseline_OpenRatio_Reynolds,0.6,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_058,Baseline_OpenRatio_Reynolds,0.6,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_059,Baseline_OpenRatio_Reynolds,0.6,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_060,Baseline_OpenRatio_Reynolds,0.6,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_061,Baseline_OpenRatio_Reynolds,0.6,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_062,Baseline_OpenRatio_Reynolds,0.6,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
DOE_Case_063,Baseline_OpenRatio_Reynolds,0.6,1000,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.027962,10.441,False
DOE_Case_064,Baseline_OpenRatio_Reynolds,0.7,25,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.000699,0.261,False
DOE_Case_065,Baseline_OpenRatio_Reynolds,0.7,50,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.001398,0.522,False
DOE_Case_066,Baseline_OpenRatio_Reynolds,0.7,100,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.002796,1.044,False
DOE_Case_067,Baseline_OpenRatio_Reynolds,0.7,150,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.004194,1.566,False
DOE_Case_068,Baseline_OpenRatio_Reynolds,0.7,250,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.006991,2.61,False
DOE_Case_069,Baseline_OpenRatio_Reynolds,0.7,350,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.009787,3.654,False
DOE_Case_070,Baseline_OpenRatio_Reynolds,0.7,500,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.013981,5.22,False
DOE_Case_071,Baseline_OpenRatio_Reynolds,0.7,750,FC-40,Plate-Fin,700.0,2,1400.0,25.0,0.020972,7.83,False
