case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_058,Baseline_OpenRatio_Reynolds,0.6,150,FC-40,Plate-Fin,700.0,1.566,50.1,0.27892,240.86,0.034,4.88,1e-06,35852.5,COMPLETED_CONVERGED
DOE_Case_059,Baseline_OpenRatio_Reynolds,0.6,250,FC-40,Plate-Fin,700.0,2.61,53.65,0.25447,215.5,0.072,5.4,3e-06,39296.6,COMPLETED_CONVERGED
DOE_Case_060,Baseline_OpenRatio_Reynolds,0.6,350,FC-40,Plate-Fin,700.0,3.654,55.98,0.2375,200.08,0.122,5.84,7e-06,42105.5,COMPLETED_CONVERGED
DOE_Case_061,Baseline_OpenRatio_Reynolds,0.6,500,FC-40,Plate-Fin,700.0,5.22,58.45,0.21937,184.74,0.222,6.38,1.9e-05,45585.6,COMPLETED_CONVERGED
DOE_Case_062,Baseline_OpenRatio_Reynolds,0.6,750,FC-40,Plate-Fin,700.0,7.83,61.27,0.19927,168.61,0.451,7.12,5.9e-05,50182.7,COMPLETED_CONVERGED
DOE_Case_063,Baseline_OpenRatio_Reynolds,0.6,1000,FC-40,Plate-Fin,700.0,10.441,63.26,0.18571,158.09,0.758,7.73,0.000132,40808.3,COMPLETED_CONVERGED
DOE_Case_064,Baseline_OpenRatio_Reynolds,0.7,25,FC-40,Plate-Fin,700.0,0.261,44.23,0.33994,386.65,0.003,3.93,0.0,29417.2,COMPLETED_CONVERGED
DOE_Case_065,Baseline_OpenRatio_Reynolds,0.7,50,FC-40,Plate-Fin,700.0,0.522,44.23,0.32158,311.95,0.007,4.18,0.0,31096.5,COMPLETED_CONVERGED
DOE_Case_066,Baseline_OpenRatio_Reynolds,0.7,100,FC-40,Plate-Fin,700.0,1.044,49.24,0.29804,264.55,0.017,4.54,0.0,33552.6,COMPLETED_CONVERGED
DOE_Case_067,Baseline_OpenRatio_Reynolds,0.7,150,FC-40,Plate-Fin,700.0,1.566,52.17,0.28113,242.41,0.03,4.84,1e-06,35570.2,COMPLETED_CONVERGED
DOE_Case_068,Baseline_OpenRatio_Reynolds,0.7,250,FC-40,Plate-Fin,700.0,2.61,55.86,0.25732,217.49,0.063,5.34,3e-06,38861.6,COMPLETED_CONVERGED
DOE_Case_069,Baseline_OpenRatio_Reynolds,0.7,350,FC-40,Plate-Fin,700.0,3.654,58.29,0.24074,202.36,0.108,5.75,7e-06,41537.8,COMPLETED_CONVERGED
DOE_Case_070,Baseline_OpenRatio_Reynolds,0.7,500,FC-40,Plate-Fin,700.0,5.22,60.86,0.22299,187.28,0.195,6.27,1.7e-05,44844.6,COMPLETED_CONVERGED
DOE_Case_071,Baseline_OpenRatio_Reynolds,0.7,750,FC-40,Plate-Fin,700.0,7.83,63.79,0.20326,171.4,0.397,6.96,5.2e-05,49198.8,COMPLETED_CONVERGED
DOE_Case_072,Baseline_OpenRatio_Reynolds,0.7,1000,FC-40,Plate-Fin,700.0,10.441,65.87,0.1899,161.02,0.668,7.53,0.000116,45312.1,COMPLETED_CONVERGED
DOE_Case_073,Baseline_OpenRatio_Reynolds,0.8,25,FC-40,Plate-Fin,700.0,0.261,45.47,0.34039,386.97,0.003,3.93,0.0,29378.0,COMPLETED_CONVERGED
DOE_Case_074,Baseline_OpenRatio_Reynolds,0.8,50,FC-40,Plate-Fin,700.0,0.522,45.47,0.32231,312.47,0.006,4.17,0.0,31025.7,COMPLETED_CONVERGED
DOE_Case_075,Baseline_OpenRatio_Reynolds,0.8,100,FC-40,Plate-Fin,700.0,1.044,50.61,0.29928,265.42,0.015,4.52,0.0,33413.5,COMPLETED_CONVERGED
DOE_Case_076,Baseline_OpenRatio_Reynolds,0.8,150,FC-40,Plate-Fin,700.0,1.566,53.62,0.28273,243.53,0.026,4.81,1e-06,35369.0,COMPLETED_CONVERGED
DOE_Case_077,Baseline_OpenRatio_Reynolds,0.8,250,FC-40,Plate-Fin,700.0,2.61,57.41,0.2594,218.95,0.055,5.29,2e-06,38550.2,COMPLETED_CONVERGED
DOE_Case_078,Baseline_OpenRatio_Reynolds,0.8,350,FC-40,Plate-Fin,700.0,3.654,59.91,0.24313,204.03,0.094,5.69,6e-06,41129.7,COMPLETED_CONVERGED
DOE_Case_079,Baseline_OpenRatio_Reynolds,0.8,500,FC-40,Plate-Fin,700.0,5.22,62.56,0.22569,189.16,0.17,6.18,1.5e-05,44309.3,COMPLETED_CONVERGED
DOE_Case_080,Baseline_OpenRatio_Reynolds,0.8,750,FC-40,Plate-Fin,700.0,7.83,65.57,0.20626,173.5,0.346,6.85,4.5e-05,48483.1,COMPLETED_CONVERGED
DOE_Case_081,Baseline_OpenRatio_Reynolds,0.8,1000,FC-40,Plate-Fin,700.0,10.441,67.71,0.19309,163.26,0.582,7.39,0.000101,51152.4,COMPLETED_CONVERGED
DOE_Case_082,Baseline_OpenRatio_Reynolds,0.9,25,FC-40,Plate-Fin,700.0,0.261,46.34,0.34071,387.19,0.002,3.92,0.0,29350.3,COMPLETED_CONVERGED
DOE_Case_083,Baseline_OpenRatio_Reynolds,0.9,50,FC-40,Plate-Fin,700.0,0.522,46.34,0.32284,312.83,0.005,4.16,0.0,30975.5,COMPLETED_CONVERGED
DOE_Case_084,Baseline_OpenRatio_Reynolds,0.9,100,FC-40,Plate-Fin,700.0,1.044,51.58,0.30017,266.04,0.013,4.5,0.0,33314.9,COMPLETED_CONVERGED
DOE_Case_085,Baseline_OpenRatio_Reynolds,0.9,150,FC-40,Plate-Fin,700.0,1.566,54.65,0.28388,244.33,0.022,4.79,1e-06,35226.2,COMPLETED_CONVERGED
DOE_Case_086,Baseline_OpenRatio_Reynolds,0.9,250,FC-40,Plate-Fin,700.0,2.61,58.51,0.2609,220.0,0.047,5.26,2e-06,38328.2,COMPLETED_CONVERGED
DOE_Case_087,Baseline_OpenRatio_Reynolds,0.9,350,FC-40,Plate-Fin,700.0,3.654,61.06,0.24487,205.24,0.081,5.64,5e-06,40838.0,COMPLETED_CONVERGED
DOE_Case_088,Baseline_OpenRatio_Reynolds,0.9,500,FC-40,Plate-Fin,700.0,5.22,63.76,0.22766,190.55,0.146,6.12,1.3e-05,43925.3,COMPLETED_CONVERGED
DOE_Case_089,Baseline_OpenRatio_Reynolds,0.9,750,FC-40,Plate-Fin,700.0,7.83,66.82,0.20848,175.06,0.297,6.76,3.9e-05,47967.1,COMPLETED_CONVERGED
DOE_Case_090,Baseline_OpenRatio_Reynolds,0.9,1000,FC-40,Plate-Fin,700.0,10.441,69.0,0.19547,164.92,0.5,7.28,8.7e-05,51159.4,COMPLETED_CONVERGED
DOE_Case_091,Baseline_OpenRatio_Reynolds,1.0,25,FC-40,Plate-Fin,700.0,0.261,46.95,0.34094,387.35,0.002,3.92,0.0,29330.7,COMPLETED_CONVERGED
DOE_Case_092,Baseline_OpenRatio_Reynolds,1.0,50,FC-40,Plate-Fin,700.0,0.522,46.95,0.3232,313.09,0.004,4.16,0.0,30940.1,COMPLETED_CONVERGED
DOE_Case_093,Baseline_OpenRatio_Reynolds,1.0,100,FC-40,Plate-Fin,700.0,1.044,52.26,0.3008,266.48,0.011,4.49,0.0,33245.2,COMPLETED_CONVERGED
