case_id,campaign_group,open_ratio,reynolds_number,fluid,topology,tdp_per_chip_W,flow_rate_LPM,bypass_fraction_pct,thermal_resistance_K_W,T_chip_max_C,pressure_drop_total_Pa,nusselt_number,pumping_power_W,figure_of_merit_K_inv,status
DOE_Case_110,Fluid_Sensitivity,0.3,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_111,Fluid_Sensitivity,0.3,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_112,Fluid_Sensitivity,0.4,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_113,Fluid_Sensitivity,0.4,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_114,Fluid_Sensitivity,0.4,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_115,Fluid_Sensitivity,0.5,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_116,Fluid_Sensitivity,0.5,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_117,Fluid_Sensitivity,0.5,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_118,Fluid_Sensitivity,0.6,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_119,Fluid_Sensitivity,0.6,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_120,Fluid_Sensitivity,0.6,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_121,Fluid_Sensitivity,0.7,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_122,Fluid_Sensitivity,0.7,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_123,Fluid_Sensitivity,0.7,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_124,Fluid_Sensitivity,0.8,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_125,Fluid_Sensitivity,0.8,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_126,Fluid_Sensitivity,0.8,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_127,Fluid_Sensitivity,0.9,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_128,Fluid_Sensitivity,0.9,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_129,Fluid_Sensitivity,0.9,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_130,Fluid_Sensitivity,1.0,50,PAO-4,Plate-Fin,700.0,4.942,,,,,,,,PENDING
DOE_Case_131,Fluid_Sensitivity,1.0,250,PAO-4,Plate-Fin,700.0,24.709,,,,,,,,PENDING
DOE_Case_132,Fluid_Sensitivity,1.0,750,PAO-4,Plate-Fin,700.0,74.128,,,,,,,,PENDING
DOE_Case_133,Fluid_Sensitivity,0.0,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_134,Fluid_Sensitivity,0.0,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_135,Fluid_Sensitivity,0.0,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_136,Fluid_Sensitivity,0.1,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_137,Fluid_Sensitivity,0.1,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_138,Fluid_Sensitivity,0.1,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_139,Fluid_Sensitivity,0.2,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_140,Fluid_Sensitivity,0.2,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_141,Fluid_Sensitivity,0.2,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_142,Fluid_Sensitivity,0.3,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_143,Fluid_Sensitivity,0.3,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_144,Fluid_Sensitivity,0.3,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_145,Fluid_Sensitivity,0.4,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_146,Fluid_Sensitivity,0.4,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_147,Fluid_Sensitivity,0.4,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_148,Fluid_Sensitivity,0.5,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_149,Fluid_Sensitivity,0.5,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_150,Fluid_Sensitivity,0.5,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_151,Fluid_Sensitivity,0.6,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_152,Fluid_Sensitivity,0.6,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_153,Fluid_Sensitivity,0.6,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_154,Fluid_Sensitivity,0.7,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_155,Fluid_Sensitivity,0.7,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_156,Fluid_Sensitivity,0.7,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_157,Fluid_Sensitivity,0.8,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_158,Fluid_Sensitivity,0.8,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_159,Fluid_Sensitivity,0.8,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_160,Fluid_Sensitivity,0.9,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_161,Fluid_Sensitivity,0.9,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_162,Fluid_Sensitivity,0.9,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_163,Fluid_Sensitivity,1.0,50,EFL-1,Plate-Fin,700.0,0.406,,,,,,,,PENDING
DOE_Case_164,Fluid_Sensitivity,1.0,250,EFL-1,Plate-Fin,700.0,2.029,,,,,,,,PENDING
DOE_Case_165,Fluid_Sensitivity,1.0,750,EFL-1,Plate-Fin,700.0,6.086,,,,,,,,PENDING
DOE_Case_166,Topology_Sensitivity,0.0,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_167,Topology_Sensitivity,0.0,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_168,Topology_Sensitivity,0.1,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_169,Topology_Sensitivity,0.1,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_170,Topology_Sensitivity,0.2,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_171,Topology_Sensitivity,0.2,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_172,Topology_Sensitivity,0.3,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_173,Topology_Sensitivity,0.3,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_174,Topology_Sensitivity,0.4,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_175,Topology_Sensitivity,0.4,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_176,Topology_Sensitivity,0.5,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_177,Topology_Sensitivity,0.5,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_178,Topology_Sensitivity,0.6,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_179,Topology_Sensitivity,0.6,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_180,Topology_Sensitivity,0.7,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_181,Topology_Sensitivity,0.7,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_182,Topology_Sensitivity,0.8,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_183,Topology_Sensitivity,0.8,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_184,Topology_Sensitivity,0.9,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_185,Topology_Sensitivity,0.9,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_186,Topology_Sensitivity,1.0,100,FC-40,Micro-Pin-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_187,Topology_Sensitivity,1.0,500,FC-40,Micro-Pin-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_188,Topology_Sensitivity,0.0,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_189,Topology_Sensitivity,0.0,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_190,Topology_Sensitivity,0.1,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_191,Topology_Sensitivity,0.1,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_192,Topology_Sensitivity,0.2,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_193,Topology_Sensitivity,0.2,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_194,Topology_Sensitivity,0.3,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_195,Topology_Sensitivity,0.3,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_196,Topology_Sensitivity,0.4,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_197,Topology_Sensitivity,0.4,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_198,Topology_Sensitivity,0.5,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_199,Topology_Sensitivity,0.5,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_200,Topology_Sensitivity,0.6,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_201,Topology_Sensitivity,0.6,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_202,Topology_Sensitivity,0.7,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_203,Topology_Sensitivity,0.7,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_204,Topology_Sensitivity,0.8,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_205,Topology_Sensitivity,0.8,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_206,Topology_Sensitivity,0.9,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_207,Topology_Sensitivity,0.9,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_208,Topology_Sensitivity,1.0,100,FC-40,Oblique-Fin,700.0,1.044,,,,,,,,PENDING
DOE_Case_209,Topology_Sensitivity,1.0,500,FC-40,Oblique-Fin,700.0,5.22,,,,,,,,PENDING
DOE_Case_210,ThermalLoad_Sensitivity,0.0,250,FC-40,Plate-Fin,300.0,2.61,,,,,,,,PENDING
DOE_Case_211,ThermalLoad_Sensitivity,0.25,250,FC-40,Plate-Fin,300.0,2.61,,,,,,,,PENDING
DOE_Case_212,ThermalLoad_Sensitivity,0.5,250,FC-40,Plate-Fin,300.0,2.61,,,,,,,,PENDING
DOE_Case_213,ThermalLoad_Sensitivity,0.75,250,FC-40,Plate-Fin,300.0,2.61,,,,,,,,PENDING
